comparison_id,comparison_kind,base_dataset_id,diffuse_dataset_id,base_basis_id,diffuse_basis_id,state_id,symbol,z,charge,electron_count,state_category,state_role,release_gate_status,sensitivity_tier,sensitivity_flags,integrity_flags,status,multiplicity,base_state_record_sha256,diffuse_state_record_sha256,state_record_sha256_match,base_electron_count_trapz,diffuse_electron_count_trapz,base_electron_count_error,diffuse_electron_count_error,max_abs_electron_count_error,signed_delta_electrons_trapz,abs_signed_delta_electrons_trapz,l1_delta_electrons_trapz,radial_distribution_l1_delta_electrons,relative_l1_delta,relative_radial_distribution_l1_delta,max_abs_radial_distribution_delta_e_per_bohr,r_at_max_abs_radial_distribution_delta_bohr,max_abs_density_delta_e_bohr3,r_at_max_abs_density_delta_bohr,max_abs_cumulative_delta_electrons,r_at_max_abs_cumulative_delta_bohr,integrated_abs_cumulative_delta_electron_bohr,integrated_abs_cumulative_delta_electron_angstrom,mean_abs_radial_shift_bohr,mean_abs_radial_shift_angstrom,base_mean_r_bohr,diffuse_mean_r_bohr,delta_mean_r_bohr,delta_mean_r_angstrom,base_mean_r2_bohr2,diffuse_mean_r2_bohr2,delta_mean_r2_bohr2,base_rms_r_bohr,diffuse_rms_r_bohr,delta_rms_r_bohr,delta_rms_r_angstrom,base_r50_bohr,diffuse_r50_bohr,delta_r50_bohr,delta_r50_angstrom,base_r90_bohr,diffuse_r90_bohr,delta_r90_bohr,delta_r90_angstrom,base_r95_bohr,diffuse_r95_bohr,delta_r95_bohr,delta_r95_angstrom,base_r99_bohr,diffuse_r99_bohr,delta_r99_bohr,delta_r99_angstrom,base_r99p5_bohr,diffuse_r99p5_bohr,delta_r99p5_bohr,delta_r99p5_angstrom,base_r99p9_bohr,diffuse_r99p9_bohr,delta_r99p9_bohr,delta_r99p9_angstrom,base_r99p99_bohr,diffuse_r99p99_bohr,delta_r99p99_bohr,delta_r99p99_angstrom,base_r_iso_0p003_e_bohr3_bohr,diffuse_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_bohr,delta_r_iso_0p003_e_bohr3_angstrom,base_r_iso_0p001_e_bohr3_bohr,diffuse_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_bohr,delta_r_iso_0p001_e_bohr3_angstrom,base_r_iso_0p0001_e_bohr3_bohr,diffuse_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_bohr,delta_r_iso_0p0001_e_bohr3_angstrom,base_tail_electrons_gt_5_bohr,diffuse_tail_electrons_gt_5_bohr,delta_tail_electrons_gt_5_bohr,abs_delta_tail_electrons_gt_5_bohr,base_tail_electrons_gt_10_bohr,diffuse_tail_electrons_gt_10_bohr,delta_tail_electrons_gt_10_bohr,abs_delta_tail_electrons_gt_10_bohr,base_tail_electrons_gt_15_bohr,diffuse_tail_electrons_gt_15_bohr,delta_tail_electrons_gt_15_bohr,abs_delta_tail_electrons_gt_15_bohr,base_tail_electrons_gt_20_bohr,diffuse_tail_electrons_gt_20_bohr,delta_tail_electrons_gt_20_bohr,abs_delta_tail_electrons_gt_20_bohr,max_abs_quantile_radius_delta_angstrom,max_abs_cutoff_radius_delta_angstrom
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,Be_qm1_mult2_formal,Be,4,-1,5,formal_anion_reference,formal_monoanion,PASS,high,relative_l1_outlier;cumulative_delta_watch;mean_radial_shift_outlier,,PASS,2,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,29c3237e71f15e98ea642bd79d840cbcace59383a12621e82815151daa0fc4d5,True,5.00018593852359,5.00018593852359,0.00018593852358961271,0.00018593852358961271,0.00018593852358961271,-2.962718464514014e-15,2.962718464514014e-15,1.0876451812897137,1.0876451812897137,0.21752094715319004,0.21752094715319004,0.09221181535764475,6.982237810077357,0.08155794062837884,1.0000000000000004e-06,0.538396875212781,10.143191016245588,4.996663871618789,2.6441206514030164,0.9992956128135827,0.5288044652562959,2.4802989968452125,3.478477775844907,0.9981787789996943,0.5282134622536202,12.656287939046498,34.45927502109834,21.802987082051843,3.5575676998542836,5.870202298140869,2.3126345982865857,1.2237935265590751,1.7927632104057196,1.789741182341748,-0.0030220280639716712,-0.0015991883821631218,6.262319702679481,11.869631146477348,5.607311443797867,2.967261430493429,8.132468466109074,15.079783968198734,6.94731550208966,3.676361040658981,10.717361594786768,19.523439616761845,8.806078021975077,4.659975806662978,11.547428418565085,21.01092403596944,9.463495617404353,5.007866216210799,13.18875385260117,23.988650450650294,10.799896598049123,5.715059159796433,15.134346361948348,27.53947352708397,12.405127165135623,6.564510594143507,3.610810686660322,3.4691294622081457,-0.14168122445217612,-0.07497447519292448,4.64402317269666,4.343511778444057,-0.3005113942526032,-0.15902378145516438,8.797328655888416,6.548617824035856,-2.24871083185256,-1.1899665261271026,0.7276287841664673,0.9110228477478879,0.18339406358142063,0.18339406358142063,0.08494765886545466,0.6230866905995268,0.5381390317340722,0.5381390317340722,0.0005902210071581063,0.2555638463180449,0.2549736253108868,0.2549736253108868,2.65693335733779e-07,0.04032481518159604,0.0403245494882603,0.0403245494882603,6.564510594143507,1.1899665261271026
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,B_qm2_mult4_formal,B,5,-2,7,formal_anion_reference,formal_multianion,PASS,high,relative_l1_outlier;cumulative_delta_outlier;mean_radial_shift_outlier,,PASS,4,b45f8b6c7801fc4a780680ad60c034e4acc218c470833374d7e1e0d51b1a9c80,b45f8b6c7801fc4a780680ad60c034e4acc218c470833374d7e1e0d51b1a9c80,True,7.000260313933022,7.000260313933018,0.00026031393302172745,0.00026031393301817474,0.00026031393302172745,-2.7812569021578307e-15,2.7812569021578307e-15,2.0549073412214,2.0549073412214,0.2935472752536645,0.2935472752536645,0.277124127460765,5.749910083549367,0.16078407553484908,1.0000000000000004e-06,1.0183571269626661,7.986921663680142,6.894327205710412,3.648320841770509,0.9848672615771498,0.5211693105910714,2.498762095323243,3.4819114135739664,0.9831493182507236,0.5202602141331037,11.430965229036195,28.64283489679505,17.211869667758855,3.3809710482398683,5.351900120218524,1.9709290719786554,1.0429707491973028,1.8630663896194586,1.8595095063217721,-0.0035568832976864417,-0.0018822215829771762,6.119779817269885,10.546103894905245,4.4263240776353605,2.342309829955874,7.1677521290693225,12.506568672905498,5.338816543836176,2.8251800481900213,8.85454253004945,15.663219451142272,6.808676921092822,3.6029966630435246,9.43949297780658,16.762534069231666,7.323041091425086,3.8751864600883876,10.625238338370758,18.98123048908067,8.35599215070991,4.421800620640031,12.06891954138043,21.6701848543949,9.601265313014471,5.0807707994807165,3.7531688338529285,3.507903698159546,-0.2452651356933826,-0.12978872043797002,5.691912926582164,4.421582236419665,-1.270330690162499,-0.6722300515446743,8.66204262801305,11.748582085498812,3.086539457485763,1.6333263414543748,1.1561972478141138,1.5918696115204751,0.4356723637063613,0.4356723637063613,0.01687254911140374,0.811997949796641,0.7951254006852372,0.7951254006852372,2.0339810001951086e-06,0.10296191739480344,0.10295988341380324,0.10295988341380324,3.223887485038526e-12,0.0030542732823846015,0.0030542732791607142,0.0030542732791607142,5.0807707994807165,1.6333263414543748
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,C_qm3_mult2_formal,C,6,-3,9,formal_anion_reference,formal_multianion,PASS,high,relative_l1_outlier;cumulative_delta_outlier;mean_radial_shift_outlier,,PASS,2,094f2898f9e9dd6d8a6ae68255d84f744f2e89006d258567ee8571fd60702659,094f2898f9e9dd6d8a6ae68255d84f744f2e89006d258567ee8571fd60702659,True,9.000334689342457,9.00033468934246,0.0003346893424573949,0.00033468934245917126,0.00033468934245917126,7.882630832583041e-16,7.882630832583041e-16,3.4508871815407405,3.4508871815407405,0.38341765063770683,0.38341765063770683,0.6576751421511158,5.026622431076251,0.011005867509481959,1.0000000000000004e-06,1.6607226590413848,6.878716927901279,8.217053030811988,4.34827720468713,0.9129719409814863,0.48312394536128117,2.4029012670894563,3.2984799921147765,0.8955787250253202,0.4739198518529637,10.062855853389262,23.55528606330885,13.492430209919586,3.1722004749683244,4.85337882956903,1.6811783546007053,0.8896412727180959,1.7423495964961415,1.7101875260940418,-0.03216207040209973,-0.017019434712249062,5.647484677336407,9.308167132836646,3.660682455500239,1.9371497318031616,6.400541731670877,10.58223073640599,4.181689004735112,2.2128545243894684,7.6930809199493,12.777984455883304,5.0849035359340045,2.6908150708563587,8.153845217434718,13.56427403305703,5.410428815622312,2.8630756304402367,9.10126010090196,15.17705187883145,6.07579177792949,3.215170547072107,10.265336069641508,17.166203313924296,6.900867244282788,3.6517816811414368,4.546218019832254,3.4012478151294974,-1.1449702047027563,-0.6058921394916416,6.312328776882353,4.217096398660794,-2.095232378221559,-1.1087492261009442,8.047201757488805,11.565128827923122,3.5179270704343164,1.861606835292593,1.4024057634321567,2.3048194499073578,0.902413686475201,0.902413686475201,0.0015571063243197273,0.632326804736785,0.6307696984124653,0.6307696984124653,2.2285535744343545e-09,0.010858580404258262,0.010858578175704688,0.010858578175704688,7.203785585240313e-18,1.8013718098668265e-05,1.8013718098661062e-05,1.8013718098661062e-05,3.6517816811414368,1.861606835292593
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,C_qm2_mult3_formal,C,6,-2,8,formal_anion_reference,formal_multianion,PASS,high,relative_l1_outlier;cumulative_delta_watch;mean_radial_shift_watch,,PASS,3,1b42cd0cdb2206cec96013005d377ff9ec2fa93963cd9f17deca2526d6a779ce,1b42cd0cdb2206cec96013005d377ff9ec2fa93963cd9f17deca2526d6a779ce,True,8.00029750163774,8.000297501637743,0.0002975016377391171,0.0002975016377426698,0.0002975016377426698,3.748498131543391e-15,3.748498131543391e-15,1.8005357659790895,1.8005357659790895,0.2250586013345756,0.2250586013345756,0.32331236012957976,4.878674770732216,0.050361853758886355,1.0000000000000004e-06,0.8674493145232605,6.776730879304077,4.410874450820214,2.334134239528342,0.5513388033279092,0.2917559302076606,1.984073015234395,2.5267145106250792,0.5426414953906842,0.28715351305107534,7.129676188761432,15.11636045877462,7.986684270013188,2.6701453497443604,3.887976396375706,1.2178310466313458,0.6444484366074569,1.4904090648781452,1.4769145074108507,-0.013494557467294443,-0.007141012282913125,4.827876049673558,7.807695634169943,2.9798195844963846,1.576852616717933,5.77707965735557,9.561792441292306,3.7847127839367367,2.0027837550725707,7.241926484625415,12.06665083296278,4.824724348337366,2.5531341740289615,7.7398870443964,12.914569890932253,5.174682846535853,2.7383242360374394,8.746597682656583,14.630964338672209,5.884366656015626,3.1138727349609616,9.964075011338405,16.69944190060241,6.735366889264004,3.5642026648691405,3.758905311252309,3.418318667260747,-0.34058664399156235,-0.18023069033826797,5.557337312232404,4.219296170875267,-1.3380411413571371,-0.7080608792568366,7.569256154461189,10.570167716508921,3.0009115620477322,1.588014010570984,0.7194897483397721,1.2558462729931699,0.5363565246533978,0.5363565246533978,0.0007377965835410665,0.31723814538106054,0.3165003487975195,0.3165003487975195,1.055609731190912e-09,0.005425814631709259,0.005425813576099527,0.005425813576099527,3.4122515157673786e-18,9.000753114027557e-06,9.000753114024145e-06,9.000753114024145e-06,3.5642026648691405,1.588014010570984
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,N_qm3_mult1_formal,N,7,-3,10,formal_anion_reference,formal_multianion,PASS,high,relative_l1_outlier;cumulative_delta_outlier;mean_radial_shift_outlier,,PASS,1,81ce1510c17cc4362fdc9c49e841c4153d2dba4121692b5ec98ea491a355aa3b,81ce1510c17cc4362fdc9c49e841c4153d2dba4121692b5ec98ea491a355aa3b,True,10.000371877047165,10.000371877047185,0.0003718770471650146,0.0003718770471845545,0.0003718770471845545,6.884752087314326e-16,6.884752087314326e-16,2.957593248495256,2.957593248495256,0.2957483266480835,0.2957483266480835,0.6108590722423293,4.078077576474689,0.33665517813662404,1.0000000000000004e-06,1.4679504714100524,5.664660084842211,6.445979905723494,3.411065668047541,0.6445740203440122,0.34109388230617793,1.9301200406175294,2.5734037530928795,0.6432837124753501,0.34041108078703314,6.442073436860055,14.179177100215663,7.737103663355607,2.538123999504369,3.7655248107289987,1.2274008112246295,0.649512537943929,1.4282706275938382,1.4286946960100009,0.00042406841616271507,0.00022440734169703824,4.536362777223615,7.287512782048089,2.751150004824474,1.4558458863287902,5.242665324109645,8.483599453695662,3.2409341295860177,1.7150284834146707,6.42150657305503,10.441947923573382,4.020441350518352,2.1275259404663918,6.83583367356955,11.1298847520696,4.29405107850005,2.272313973195675,7.681334474312978,12.529829898625511,4.848495424312533,2.5657132857136635,8.710582497693583,14.237136352543835,5.526553854850253,2.9245263548148794,4.626901249536516,3.412845804095612,-1.2140554454409043,-0.6424504745000169,5.638339285524567,5.862687120209192,0.22434783468462527,0.11871976143053732,7.046236746108052,10.08144916294252,3.035212416834467,1.606165241238617,0.6493901752167186,2.00956576257429,1.3601755873575716,1.3601755873575716,3.3089089366059835e-05,0.15089313189225068,0.15086004280288462,0.15086004280288462,3.331392692056735e-13,0.00031294753637652826,0.000312947536043389,0.000312947536043389,1.0813364270845947e-24,2.716405560288164e-08,2.716405560288164e-08,2.716405560288164e-08,2.9245263548148794,1.606165241238617
pbe0_sfx2c_dyallv4z_h-lr_spherical_v2__vs__pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall_augmented_basis_sensitivity,pbe0_sfx2c_dyallv4z_h-lr_spherical_v2,pbe0_sfx2c_dyallav4z_h-ba_hf-ra_spherical_v2,dyall-v4z,dyall-av4z,N_qm2_mult2_formal,N,7,-2,9,formal_anion_reference,formal_multianion,PASS,high,relative_l1_outlier;cumulative_delta_outlier;mean_radial_shift_outlier,,PASS,2,f1b3bcfe679183dec34e3f383ef5d87411aa6b008c87d887d1f6dc418c156953,f1b3bcfe679183dec34e3f383ef5d87411aa6b008c87d887d1f6dc418c156953,True,9.00033468934246,9.000334689342465,0.00033468934245917126,0.00033468934246450033,0.00033468934246450033,1.1287269887535188e-16,1.1287269887535188e-16,2.352887534955875,2.352887534955875,0.2614222266358597,0.2614222266358597,0.39722518117860994,3.784595681598465,0.32023336279763726,1.0000000000000004e-06,1.153195464220559,5.497933178716261,5.40266902117963,2.8589693240598772,0.6002742350878435,0.3176514455007167,1.6387030394674087,2.2354627483318072,0.5967597088643986,0.3157916383161487,4.7621800639571825,11.712790499069662,6.95061043511248,2.1822419810729476,3.422395432890487,1.2401534518175392,0.6562609447245333,1.2520890015746418,1.246443955268607,-0.0056450463060346845,-0.002987229859645717,3.865232879014617,6.892478877440753,3.0272459984261357,1.60194959416441,4.731456456256747,8.23319863197776,3.501742175721014,1.853042157849449,6.058176933353509,10.276954005450673,4.218777072097164,2.232480684433902,6.504626645176322,10.980572281578647,4.475945636402325,2.3685684280248354,7.399368580233977,12.405597808182629,5.006229227948651,2.6491824199869463,8.47117457125135,14.127294938901185,5.6561203676498355,2.9930900006845906,3.9308744733482053,3.1343228724929095,-0.7965516008552957,-0.4215169544809251,5.131275987247726,3.8999300758604245,-1.2313459113873013,-0.6516001950447446,6.68820006337611,9.797117877035364,3.1089178136592537,1.6451684575588563,0.3431672937531491,1.456982000532932,1.1138147067797828,1.1138147067797828,1.6943777523962945e-05,0.11597858701137395,0.11596164323384998,0.11596164323384998,1.7058642146737978e-13,0.00024094781848791566,0.00024094781831732925,0.00024094781831732925,5.537062978361383e-25,2.0914512335255808e-08,2.0914512335255808e-08,2.0914512335255808e-08,2.9930900006845906,1.6451684575588563
