state_id,z,symbol,charge,electron_count,configuration,ground_level,multiplicity,spin_2s,state_category,state_role,physical_status,state_source,source_table,nist_ie_provenance,rule_reason,notes
H_qm1_mult1_ning2022,1,H,-1,2,1s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,recommended high-accuracy calculation; experimental photodetachment value exists
H_q0_mult2_nist,1,H,0,1,1s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
He_q0_mult1_nist,2,He,0,2,1s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
He_qp1_mult2_nist,2,He,1,1,1s1,2S1/2,2,1,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
Li_qm1_mult1_ning2022,3,Li,-1,4,[He] 2s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Li_q0_mult2_nist,3,Li,0,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Li_qp1_mult1_nist,3,Li,1,2,1s2,1S0,1,0,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
Be_qm1_mult2_formal,4,Be,-1,5,1s2 2s2 2p1,,2,1,formal_anion_reference,formal_monoanion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy. | Formal stockholder/Hirshfeld-I reference; not a claim of a stable isolated atomic anion."
Be_q0_mult1_nist,4,Be,0,4,1s2 2s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Be_qp1_mult2_nist,4,Be,1,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Be_qp2_mult1_nist,4,Be,2,2,1s2,1S0,1,0,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
B_qm2_mult4_formal,5,B,-2,7,1s2 2s2 2p3,,4,3,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
B_qm1_mult3_ning2022,5,B,-1,6,[He] 2s2 2p2,3P0,3,2,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
B_q0_mult2_nist,5,B,0,5,1s2 2s2 2p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
B_qp1_mult1_nist,5,B,1,4,1s2 2s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
B_qp2_mult2_nist,5,B,2,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
B_qp3_mult1_nist,5,B,3,2,1s2,1S0,1,0,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,theoretical,,
C_qm3_mult2_formal,6,C,-3,9,1s2 2s2 2p5,,2,1,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
C_qm2_mult3_formal,6,C,-2,8,1s2 2s2 2p4,,3,2,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
C_qm1_mult4_ning2022,6,C,-1,7,[He] 2s2 2p3,4S3/2,4,3,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
C_q0_mult3_nist,6,C,0,6,1s2 2s2 2p2,3P0,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
C_qp1_mult2_nist,6,C,1,5,1s2 2s2 2p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
C_qp2_mult1_nist,6,C,2,4,1s2 2s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
C_qp3_mult2_nist,6,C,3,3,1s2 2s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
N_qm3_mult1_formal,7,N,-3,10,1s2 2s2 2p6,,1,0,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
N_qm2_mult2_formal,7,N,-2,9,1s2 2s2 2p5,,2,1,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
N_qm1_mult3_formal,7,N,-1,8,1s2 2s2 2p4,,3,2,formal_anion_reference,formal_monoanion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy. | Formal stockholder/Hirshfeld-I reference; not a claim of a stable isolated atomic anion."
N_q0_mult4_nist,7,N,0,7,1s2 2s2 2p3,4S°3/2,4,3,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
N_qp1_mult3_nist,7,N,1,6,1s2 2s2 2p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
N_qp2_mult2_nist,7,N,2,5,1s2 2s2 2p1,2P°1/2,2,1,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
N_qp3_mult1_nist,7,N,3,4,1s2 2s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
O_qm2_mult1_formal,8,O,-2,10,1s2 2s2 2p6,,1,0,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
O_qm1_mult2_ning2022,8,O,-1,9,[He] 2s2 2p5,2P3/2,2,1,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
O_q0_mult3_nist,8,O,0,8,1s2 2s2 2p4,3P2,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
O_qp1_mult4_nist,8,O,1,7,1s2 2s2 2p3,4S°3/2,4,3,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
O_qp2_mult3_nist,8,O,2,6,1s2 2s2 2p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
O_qp3_mult2_nist,8,O,3,5,1s2 2s2 2p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
F_qm1_mult1_ning2022,9,F,-1,10,[He] 2s2 2p6,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
F_q0_mult2_nist,9,F,0,9,1s2 2s2 2p5,2P°3/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
F_qp1_mult3_nist,9,F,1,8,1s2 2s2 2p4,3P2,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
F_qp2_mult4_nist,9,F,2,7,1s2 2s2 2p3,4S°3/2,4,3,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
F_qp3_mult3_nist,9,F,3,6,1s2 2s2 2p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Ne_q0_mult1_nist,10,Ne,0,10,1s2 2s2 2p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ne_qp1_mult2_nist,10,Ne,1,9,1s2 2s2 2p5,2P°3/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ne_qp2_mult3_nist,10,Ne,2,8,1s2 2s2 2p4,3P2,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ne_qp3_mult4_nist,10,Ne,3,7,1s2 2s2 2p3,4S°3/2,4,3,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Na_qm1_mult1_ning2022,11,Na,-1,12,[Ne] 3s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Na_q0_mult2_nist,11,Na,0,11,[Ne] 3s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Na_qp1_mult1_nist,11,Na,1,10,1s2 2s2 2p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Mg_qm1_mult2_formal,12,Mg,-1,13,[Ne] 3s2 3p1,,2,1,formal_anion_reference,formal_monoanion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,review_unbound_but_required_by_policy,"Ning-Lu treats the physical monoanion as unbound, metastable-only, or not accepted; included only as a formal reference required by the v2 charge policy. | Formal stockholder/Hirshfeld-I reference; not a claim of a stable isolated atomic anion."
Mg_q0_mult1_nist,12,Mg,0,12,[Ne] 3s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Mg_qp1_mult2_nist,12,Mg,1,11,[Ne] 3s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Mg_qp2_mult1_nist,12,Mg,2,10,1s2 2s2 2p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Al_qm2_mult4_formal,13,Al,-2,15,[Ne] 3s2 3p3,,4,3,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
Al_qm1_mult3_ning2022,13,Al,-1,14,[Ne] 3s2 3p2,3P0,3,2,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Al_q0_mult2_nist,13,Al,0,13,[Ne] 3s2 3p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Al_qp1_mult1_nist,13,Al,1,12,[Ne] 3s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Al_qp2_mult2_nist,13,Al,2,11,[Ne] 3s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Al_qp3_mult1_nist,13,Al,3,10,1s2 2s2 2p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Si_qm2_mult3_formal,14,Si,-2,16,[Ne] 3s2 3p4,,3,2,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
Si_qm1_mult4_ning2022,14,Si,-1,15,[Ne] 3s2 3p3,4S3/2,4,3,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Si_q0_mult3_nist,14,Si,0,14,[Ne] 3s2 3p2,3P0,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Si_qp1_mult2_nist,14,Si,1,13,[Ne] 3s2 3p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Si_qp2_mult1_nist,14,Si,2,12,[Ne] 3s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Si_qp3_mult2_nist,14,Si,3,11,[Ne] 3s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
P_qm3_mult1_formal,15,P,-3,18,[Ne] 3s2 3p6,,1,0,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,carbon_pnictogen_formal_trianion_policy,Formal stockholder/Hirshfeld-I reference for carbon/pnictogen trianion coverage; not a stable isolated atomic anion claim.
P_qm2_mult2_formal,15,P,-2,17,[Ne] 3s2 3p5,,2,1,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
P_qm1_mult3_ning2022,15,P,-1,16,[Ne] 3s2 3p4,3P2,3,2,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
P_q0_mult4_nist,15,P,0,15,[Ne] 3s2 3p3,4S°3/2,4,3,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
P_qp1_mult3_nist,15,P,1,14,[Ne] 3s2 3p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
P_qp2_mult2_nist,15,P,2,13,[Ne] 3s2 3p1,2P°1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
P_qp3_mult1_nist,15,P,3,12,[Ne] 3s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
S_qm2_mult1_formal,16,S,-2,18,[Ne] 3s2 3p6,,1,0,formal_anion_reference,formal_multianion,not_claimed,formal_rule,curated/formal_atoms_ions.csv,,p_block_formal_dianion_policy,Formal stockholder/Hirshfeld-I reference for p-block dianion coverage; not a stable isolated atomic anion claim.
S_qm1_mult2_ning2022,16,S,-1,17,[Ne] 3s2 3p5,2P3/2,2,1,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
S_q0_mult3_nist,16,S,0,16,[Ne] 3s2 3p4,3P2,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
S_qp1_mult4_nist,16,S,1,15,[Ne] 3s2 3p3,4S°3/2,4,3,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
S_qp2_mult3_nist,16,S,2,14,[Ne] 3s2 3p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
S_qp3_mult2_nist,16,S,3,13,[Ne] 3s2 3p1,2P°1/2,2,1,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Cl_qm1_mult1_ning2022,17,Cl,-1,18,[Ne] 3s2 3p6,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Cl_q0_mult2_nist,17,Cl,0,17,[Ne] 3s2 3p5,2P°3/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Cl_qp1_mult3_nist,17,Cl,1,16,[Ne] 3s2 3p4,3P2,3,2,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Cl_qp2_mult4_nist,17,Cl,2,15,[Ne] 3s2 3p3,4S°3/2,4,3,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Cl_qp3_mult3_nist,17,Cl,3,14,[Ne] 3s2 3p2,3P0,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Ar_q0_mult1_nist,18,Ar,0,18,[Ne] 3s2 3p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ar_qp1_mult2_nist,18,Ar,1,17,[Ne] 3s2 3p5,2P°3/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ar_qp2_mult3_nist,18,Ar,2,16,[Ne] 3s2 3p4,3P2,3,2,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
Ar_qp3_mult4_nist,18,Ar,3,15,[Ne] 3s2 3p3,4S°3/2,4,3,nist_reference,reference_uncertain,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,semiempirical,,
K_qm1_mult1_ning2022,19,K,-1,20,[Ar] 4s2,1S0,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
K_q0_mult2_nist,19,K,0,19,[Ar] 4s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
K_qp1_mult1_nist,19,K,1,18,[Ne] 3s2 3p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ca_qm1_mult2_ning2022,20,Ca,-1,21,[Ar] 4s2 4p1,2P1/2,2,1,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Ca_q0_mult1_nist,20,Ca,0,20,[Ar] 4s2,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ca_qp1_mult2_nist,20,Ca,1,19,[Ar] 4s1,2S1/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Ca_qp2_mult1_nist,20,Ca,2,18,[Ne] 3s2 3p6,1S0,1,0,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
Sc_qm1_mult1_ning2022,21,Sc,-1,22,[Ar] 3d1 4s2 4p1,1D2,1,0,ning2022_monoanion_reference,bound_experimental,experimental_or_evaluated,ning2022,source/ning2022/ning2022_monoanions.csv,,,
Sc_q0_mult2_nist,21,Sc,0,21,[Ar] 3d1 4s2,2D3/2,2,1,nist_reference,reference,experimental_or_evaluated,nist_gsie,source/nist_gsie/nist_neutral_cation_states.csv,evaluated,,
